nivesh@nivesh-VirtualBox:~/assignment_1$ ps -el
F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0       1       0  0  80   0 -  5830 -      ?        00:00:07 systemd
1 S     0       2       0  0  80   0 -     0 -      ?        00:00:00 kthreadd
1 S     0       3       2  0  80   0 -     0 -      ?        00:00:00 pool_workqueue_release
1 I     0       4       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-rcu_gp
1 I     0       5       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-sync_wq
1 I     0       6       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kvfree_rcu_reclaim
1 I     0       7       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-slub_flushwq
1 I     0       8       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-netns
1 I     0       9       2  0  80   0 -     0 -      ?        00:00:09 kworker/0:0-cgroup_destroy
1 I     0      13       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-mm_percpu_wq
1 I     0      14       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_kthread
1 I     0      15       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_rude_kthread
1 I     0      16       2  0  80   0 -     0 -      ?        00:00:00 rcu_tasks_trace_kthread
1 S     0      17       2  0  80   0 -     0 -      ?        00:00:02 ksoftirqd/0
1 I     0      18       2  0  80   0 -     0 -      ?        00:00:01 rcu_preempt
1 S     0      19       2  0  80   0 -     0 -      ?        00:00:00 rcu_exp_par_gp_kthread_worker/0
1 S     0      20       2  0  80   0 -     0 -      ?        00:00:00 rcu_exp_gp_kthread_worker
1 S     0      21       2  0 -40   - -     0 -      ?        00:00:00 migration/0
1 S     0      22       2  0   9   - -     0 -      ?        00:00:00 idle_inject/0
1 S     0      23       2  0  80   0 -     0 -      ?        00:00:00 cpuhp/0
5 S     0      24       2  0  80   0 -     0 -      ?        00:00:00 kdevtmpfs
1 I     0      25       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-inet_frag_wq
1 S     0      26       2  0  80   0 -     0 -      ?        00:00:00 kauditd
1 S     0      27       2  0  80   0 -     0 -      ?        00:00:00 khungtaskd
1 S     0      29       2  0  80   0 -     0 -      ?        00:00:00 oom_reaper
1 I     0      31       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-writeback
1 S     0      32       2  0  80   0 -     0 -      ?        00:00:00 kcompactd0
1 S     0      33       2  0  85   5 -     0 -      ?        00:00:00 ksmd
1 S     0      34       2  0  99  19 -     0 -      ?        00:00:00 khugepaged
1 I     0      35       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kintegrityd
1 I     0      36       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kblockd
1 I     0      37       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-blkcg_punt_bio
1 S     0      38       2  0   9   - -     0 -      ?        00:00:00 irq/9-acpi
1 I     0      39       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-tpm_dev_wq
1 I     0      40       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-ata_sff
1 I     0      41       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-md
1 I     0      42       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-md_bitmap
1 I     0      43       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-edac-poller
1 I     0      44       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-devfreq_wq
1 S     0      45       2  0   9   - -     0 -      ?        00:00:00 watchdogd
1 S     0      47       2  0  80   0 -     0 -      ?        00:00:00 kswapd0
1 S     0      48       2  0  80   0 -     0 -      ?        00:00:00 ecryptfs-kthread
1 I     0      49       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kthrotld
1 I     0      50       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-acpi_thermal_pm
1 S     0      51       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_0
1 I     0      52       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_0
1 S     0      53       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_1
1 I     0      54       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-scsi_tmf_1
1 I     0      56       2  0  80   0 -     0 -      ?        00:00:05 kworker/u4:4-events_unbound
1 I     0      59       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-mld
1 I     0      60       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-ipv6_addrconf
1 I     0      67       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-kstrp
1 I     0      82       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-charger_manager
1 S     0     139       2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_2
